,Year,Jurisdiction,Gender,Average scale score
661,2009,Mississippi,Female,213.0
662,2009,Missouri,Male,219.0
663,2009,Missouri,Female,229.0
664,2009,Montana,Male,222.0
665,2009,Montana,Female,228.0
666,2009,Nebraska,Male,220.0
667,2009,Nebraska,Female,225.0
668,2009,Nevada,Male,208.0
669,2009,Nevada,Female,214.0
670,2009,New Hampshire,Male,226.0
671,2009,New Hampshire,Female,233.0
672,2009,New Jersey,Male,227.0
673,2009,New Jersey,Female,232.0
674,2009,New Mexico,Male,203.0
675,2009,New Mexico,Female,213.0
676,2009,New York,Male,221.0
677,2009,New York,Female,228.0
678,2009,North Carolina,Male,215.0
679,2009,North Carolina,Female,224.0
680,2009,North Dakota,Male,223.0
681,2009,North Dakota,Female,229.0
682,2009,Ohio,Male,222.0
683,2009,Ohio,Female,227.0
684,2009,Oklahoma,Male,214.0
685,2009,Oklahoma,Female,220.0
686,2009,Oregon,Male,214.0
687,2009,Oregon,Female,223.0
688,2009,Pennsylvania,Male,221.0
689,2009,Pennsylvania,Female,226.0
690,2009,Rhode Island,Male,218.0
691,2009,Rhode Island,Female,228.0
692,2009,South Carolina,Male,213.0
693,2009,South Carolina,Female,219.0
694,2009,South Dakota,Male,220.0
695,2009,South Dakota,Female,225.0
696,2009,Tennessee,Male,214.0
697,2009,Tennessee,Female,220.0
698,2009,Texas,Male,216.0
699,2009,Texas,Female,222.0
700,2009,Utah,Male,217.0
701,2009,Utah,Female,222.0
702,2009,Vermont,Male,226.0
703,2009,Vermont,Female,231.0
704,2009,Virginia,Male,223.0
705,2009,Virginia,Female,230.0
706,2009,Washington,Male,217.0
707,2009,Washington,Female,226.0
708,2009,West Virginia,Male,211.0
709,2009,West Virginia,Female,218.0
710,2009,Wisconsin,Male,217.0
711,2009,Wisconsin,Female,224.0
712,2009,Wyoming,Male,219.0
713,2009,Wyoming,Female,226.0
714,2007,National,Male,218.0
715,2007,National,Female,224.0
716,2007,Alabama,Male,213.0
717,2007,Alabama,Female,219.0
718,2007,Alaska,Male,210.0
719,2007,Alaska,Female,219.0
720,2007,Arizona,Male,206.0
721,2007,Arizona,Female,214.0
722,2007,Arkansas,Male,213.0
