,Year,Jurisdiction,Gender,Average scale score
390,2015,Tennessee,Male,241.0
391,2015,Tennessee,Female,240.0
392,2015,Texas,Male,245.0
393,2015,Texas,Female,243.0
394,2015,Utah,Male,244.0
395,2015,Utah,Female,241.0
396,2015,Vermont,Male,243.0
397,2015,Vermont,Female,244.0
398,2015,Virginia,Male,247.0
399,2015,Virginia,Female,246.0
400,2015,Washington,Male,245.0
401,2015,Washington,Female,245.0
402,2015,West Virginia,Male,235.0
403,2015,West Virginia,Female,236.0
404,2015,Wisconsin,Male,244.0
405,2015,Wisconsin,Female,243.0
406,2015,Wyoming,Male,248.0
407,2015,Wyoming,Female,246.0
408,2013,National,Male,242.0
409,2013,National,Female,241.0
410,2013,Alabama,Male,233.0
411,2013,Alabama,Female,232.0
412,2013,Alaska,Male,237.0
413,2013,Alaska,Female,236.0
414,2013,Arizona,Male,240.0
415,2013,Arizona,Female,240.0
416,2013,Arkansas,Male,239.0
417,2013,Arkansas,Female,240.0
418,2013,California,Male,235.0
419,2013,California,Female,232.0
420,2013,Colorado,Male,248.0
421,2013,Colorado,Female,246.0
422,2013,Connecticut,Male,244.0
423,2013,Connecticut,Female,243.0
424,2013,Delaware,Male,243.0
425,2013,Delaware,Female,243.0
426,2013,Florida,Male,242.0
427,2013,Florida,Female,242.0
428,2013,Georgia,Male,241.0
429,2013,Georgia,Female,239.0
430,2013,Hawaii,Male,242.0
431,2013,Hawaii,Female,244.0
432,2013,Idaho,Male,243.0
433,2013,Idaho,Female,238.0
434,2013,Illinois,Male,239.0
435,2013,Illinois,Female,239.0
436,2013,Indiana,Male,249.0
437,2013,Indiana,Female,248.0
438,2013,Iowa,Male,247.0
439,2013,Iowa,Female,244.0
440,2013,Kansas,Male,247.0
441,2013,Kansas,Female,245.0
442,2013,Kentucky,Male,242.0
443,2013,Kentucky,Female,241.0
444,2013,Louisiana,Male,233.0
445,2013,Louisiana,Female,230.0
446,2013,Maine,Male,246.0
447,2013,Maine,Female,246.0
448,2013,Maryland,Male,246.0
449,2013,Maryland,Female,244.0
450,2013,Massachusetts,Male,253.0
451,2013,Massachusetts,Female,253.0
452,2013,Michigan,Male,237.0
453,2013,Michigan,Female,236.0
454,2013,Minnesota,Male,254.0
455,2013,Minnesota,Female,253.0
456,2013,Mississippi,Male,231.0
457,2013,Mississippi,Female,232.0
458,2013,Missouri,Male,240.0
459,2013,Missouri,Female,239.0
460,2013,Montana,Male,245.0
461,2013,Montana,Female,242.0
462,2013,Nebraska,Male,245.0
463,2013,Nebraska,Female,241.0
464,2013,Nevada,Male,237.0
465,2013,Nevada,Female,235.0
466,2013,New Hampshire,Male,255.0
467,2013,New Hampshire,Female,251.0
468,2013,New Jersey,Male,248.0
469,2013,New Jersey,Female,246.0
470,2013,New Mexico,Male,234.0
471,2013,New Mexico,Female,232.0
472,2013,New York,Male,241.0
473,2013,New York,Female,240.0
474,2013,North Carolina,Male,245.0
475,2013,North Carolina,Female,245.0
476,2013,North Dakota,Male,247.0
477,2013,North Dakota,Female,246.0
478,2013,Ohio,Male,246.0
479,2013,Ohio,Female,245.0
480,2013,Oklahoma,Male,240.0
481,2013,Oklahoma,Female,238.0
482,2013,Oregon,Male,241.0
483,2013,Oregon,Female,239.0
484,2013,Pennsylvania,Male,244.0
485,2013,Pennsylvania,Female,244.0
486,2013,Rhode Island,Male,242.0
487,2013,Rhode Island,Female,241.0
488,2013,South Carolina,Male,236.0
489,2013,South Carolina,Female,238.0
490,2013,South Dakota,Male,241.0
491,2013,South Dakota,Female,241.0
492,2013,Tennessee,Male,240.0
493,2013,Tennessee,Female,240.0
494,2013,Texas,Male,242.0
495,2013,Texas,Female,242.0
496,2013,Utah,Male,244.0
497,2013,Utah,Female,241.0
498,2013,Vermont,Male,249.0
499,2013,Vermont,Female,247.0
500,2013,Virginia,Male,247.0
501,2013,Virginia,Female,246.0
502,2013,Washington,Male,247.0
503,2013,Washington,Female,246.0
504,2013,West Virginia,Male,238.0
505,2013,West Virginia,Female,237.0
506,2013,Wisconsin,Male,245.0
507,2013,Wisconsin,Female,244.0
508,2013,Wyoming,Male,247.0
509,2013,Wyoming,Female,246.0
510,2011,National,Male,241.0
511,2011,National,Female,240.0
512,2011,Alabama,Male,231.0
513,2011,Alabama,Female,232.0
514,2011,Alaska,Male,237.0
515,2011,Alaska,Female,235.0
516,2011,Arizona,Male,237.0
517,2011,Arizona,Female,234.0
518,2011,Arkansas,Male,238.0
519,2011,Arkansas,Female,238.0
520,2011,California,Male,235.0
521,2011,California,Female,234.0
522,2011,Colorado,Male,246.0
523,2011,Colorado,Female,243.0
524,2011,Connecticut,Male,243.0
525,2011,Connecticut,Female,241.0
526,2011,Delaware,Male,241.0
527,2011,Delaware,Female,239.0
528,2011,Florida,Male,240.0
529,2011,Florida,Female,240.0
530,2011,Georgia,Male,238.0
531,2011,Georgia,Female,239.0
532,2011,Hawaii,Male,238.0
533,2011,Hawaii,Female,240.0
534,2011,Idaho,Male,241.0
535,2011,Idaho,Female,239.0
536,2011,Illinois,Male,240.0
537,2011,Illinois,Female,238.0
538,2011,Indiana,Male,245.0
539,2011,Indiana,Female,242.0
540,2011,Iowa,Male,244.0
541,2011,Iowa,Female,242.0
542,2011,Kansas,Male,247.0
543,2011,Kansas,Female,246.0
544,2011,Kentucky,Male,242.0
545,2011,Kentucky,Female,240.0
546,2011,Louisiana,Male,231.0
547,2011,Louisiana,Female,231.0
548,2011,Maine,Male,246.0
549,2011,Maine,Female,243.0
550,2011,Maryland,Male,248.0
551,2011,Maryland,Female,246.0
552,2011,Massachusetts,Male,255.0
553,2011,Massachusetts,Female,252.0
554,2011,Michigan,Male,238.0
555,2011,Michigan,Female,235.0
556,2011,Minnesota,Male,250.0
557,2011,Minnesota,Female,248.0
558,2011,Mississippi,Male,229.0
559,2011,Mississippi,Female,231.0
560,2011,Missouri,Male,240.0
561,2011,Missouri,Female,241.0
562,2011,Montana,Male,245.0
563,2011,Montana,Female,242.0
564,2011,Nebraska,Male,241.0
565,2011,Nebraska,Female,239.0
566,2011,Nevada,Male,238.0
567,2011,Nevada,Female,236.0
568,2011,New Hampshire,Male,252.0
569,2011,New Hampshire,Female,251.0
570,2011,New Jersey,Male,249.0
571,2011,New Jersey,Female,247.0
572,2011,New Mexico,Male,234.0
573,2011,New Mexico,Female,232.0
574,2011,New York,Male,238.0
575,2011,New York,Female,237.0
576,2011,North Carolina,Male,245.0
577,2011,North Carolina,Female,244.0
578,2011,North Dakota,Male,246.0
579,2011,North Dakota,Female,244.0
580,2011,Ohio,Male,245.0
581,2011,Ohio,Female,243.0
582,2011,Oklahoma,Male,237.0
583,2011,Oklahoma,Female,238.0
584,2011,Oregon,Male,237.0
585,2011,Oregon,Female,237.0
586,2011,Pennsylvania,Male,247.0
587,2011,Pennsylvania,Female,245.0
