Year,Jurisdiction,Gender,Average scale score
2007,Alaska,Female,237.0
2007,Arizona,Male,233.0
2007,Arizona,Female,230.0
2007,Arkansas,Male,238.0
2007,Arkansas,Female,237.0
2007,California,Male,231.0
2007,California,Female,229.0
2007,Colorado,Male,242.0
2007,Colorado,Female,239.0
2007,Connecticut,Male,243.0
2007,Connecticut,Female,242.0
2007,Delaware,Male,242.0
2007,Delaware,Female,241.0
2007,Florida,Male,243.0
2007,Florida,Female,241.0
2007,Georgia,Male,236.0
2007,Georgia,Female,234.0
2007,Hawaii,Male,233.0
2007,Hawaii,Female,236.0
2007,Idaho,Male,242.0
2007,Idaho,Female,240.0
2007,Illinois,Male,239.0
2007,Illinois,Female,235.0
2007,Indiana,Male,246.0
2007,Indiana,Female,244.0
2007,Iowa,Male,244.0
2007,Iowa,Female,241.0
2007,Kansas,Male,249.0
2007,Kansas,Female,247.0
2007,Kentucky,Male,237.0
2007,Kentucky,Female,234.0
2007,Louisiana,Male,230.0
2007,Louisiana,Female,230.0
2007,Maine,Male,244.0
2007,Maine,Female,241.0
2007,Maryland,Male,242.0
2007,Maryland,Female,239.0
2007,Massachusetts,Male,254.0
2007,Massachusetts,Female,251.0
2007,Michigan,Male,238.0
2007,Michigan,Female,237.0
2007,Minnesota,Male,249.0
2007,Minnesota,Female,245.0
2007,Mississippi,Male,228.0
2007,Mississippi,Female,227.0
2007,Missouri,Male,240.0
2007,Missouri,Female,238.0
2007,Montana,Male,245.0
2007,Montana,Female,242.0
2007,Nebraska,Male,240.0
2007,Nebraska,Female,236.0
2007,Nevada,Male,233.0
2007,Nevada,Female,230.0
2007,New Hampshire,Male,250.0
2007,New Hampshire,Female,247.0
2007,New Jersey,Male,250.0
2007,New Jersey,Female,247.0
2007,New Mexico,Male,229.0
2007,New Mexico,Female,227.0
2007,New York,Male,244.0
2007,New York,Female,242.0
2007,North Carolina,Male,243.0
2007,North Carolina,Female,241.0
2007,North Dakota,Male,248.0
2007,North Dakota,Female,243.0
2007,Ohio,Male,246.0
