Year,Jurisdiction,Gender,Average scale score
2013,West Virginia,Female,219
2013,Wisconsin,Male,216
2013,Wisconsin,Female,225
2013,Wyoming,Male,223
2013,Wyoming,Female,229
2011,National,Male,218
2011,National,Female,225
2011,Alabama,Male,218
2011,Alabama,Female,223
2011,Alaska,Male,204
2011,Alaska,Female,212
2011,Arizona,Male,209
2011,Arizona,Female,216
2011,Arkansas,Male,214
2011,Arkansas,Female,219
2011,California,Male,209
2011,California,Female,214
2011,Colorado,Male,219
2011,Colorado,Female,228
2011,Connecticut,Male,224
2011,Connecticut,Female,232
2011,Delaware,Male,223
2011,Delaware,Female,228
2011,District of Columbia,Male,194
2011,District of Columbia,Female,208
2011,DoDEA,Male,226
2011,DoDEA,Female,233
2011,Florida,Male,221
2011,Florida,Female,228
2011,Georgia,Male,216
2011,Georgia,Female,226
2011,Hawaii,Male,208
2011,Hawaii,Female,219
2011,Idaho,Male,218
2011,Idaho,Female,224
2011,Illinois,Male,217
2011,Illinois,Female,222
2011,Indiana,Male,217
2011,Indiana,Female,225
2011,Iowa,Male,218
2011,Iowa,Female,224
2011,Kansas,Male,219
2011,Kansas,Female,228
2011,Kentucky,Male,223
2011,Kentucky,Female,227
2011,Louisiana,Male,206
2011,Louisiana,Female,215
2011,Maine,Male,219
2011,Maine,Female,225
2011,Maryland,Male,227
2011,Maryland,Female,234
2011,Massachusetts,Male,234
2011,Massachusetts,Female,239
2011,Michigan,Male,216
2011,Michigan,Female,222
2011,Minnesota,Male,219
2011,Minnesota,Female,225
2011,Mississippi,Male,204
2011,Mississippi,Female,215
2011,Missouri,Male,215
2011,Missouri,Female,225
2011,Montana,Male,222
2011,Montana,Female,229
2011,Nebraska,Male,220
2011,Nebraska,Female,226
2011,Nevada,Male,210
2011,Nevada,Female,216
2011,New Hampshire,Male,226
2011,New Hampshire,Female,235
2011,New Jersey,Male,229
2011,New Jersey,Female,233
2011,New Mexico,Male,205
2011,New Mexico,Female,211
2011,New York,Male,219
2011,New York,Female,226
2011,North Carolina,Male,217
2011,North Carolina,Female,225
2011,North Dakota,Male,223
2011,North Dakota,Female,228
2011,Ohio,Male,222
2011,Ohio,Female,226
2011,Oklahoma,Male,213
2011,Oklahoma,Female,219
2011,Oregon,Male,212
2011,Oregon,Female,221
2011,Pennsylvania,Male,223
2011,Pennsylvania,Female,232
2011,Rhode Island,Male,218
2011,Rhode Island,Female,227
2011,South Carolina,Male,210
2011,South Carolina,Female,220
2011,South Dakota,Male,217
2011,South Dakota,Female,223
2011,Tennessee,Male,211
2011,Tennessee,Female,219
2011,Texas,Male,216
2011,Texas,Female,220
2011,Utah,Male,218
2011,Utah,Female,223
2011,Vermont,Male,224
2011,Vermont,Female,230
2011,Virginia,Male,223
2011,Virginia,Female,230
2011,Washington,Male,216
2011,Washington,Female,226
2011,West Virginia,Male,210
2011,West Virginia,Female,219
2011,Wisconsin,Male,219
2011,Wisconsin,Female,224
2011,Wyoming,Male,221
2011,Wyoming,Female,228
2009,National,Male,218
2009,National,Female,224
2009,Alabama,Male,212
2009,Alabama,Female,221
2009,Alaska,Male,207
2009,Alaska,Female,216
2009,Arizona,Male,207
2009,Arizona,Female,213
2009,Arkansas,Male,211
2009,Arkansas,Female,222
2009,California,Male,207
2009,California,Female,213
2009,Colorado,Male,222
2009,Colorado,Female,229
2009,Connecticut,Male,225
2009,Connecticut,Female,234
2009,Delaware,Male,223
2009,Delaware,Female,228
2009,District of Columbia,Male,198
2009,District of Columbia,Female,206
2009,DoDEA,Male,224
2009,DoDEA,Female,233
2009,Florida,Male,223
